353222063480000,0001,16868680000,50058114
353222063480001,0002,16868680001,50058115
353222063480002,0003,16868680002,50058116
353222063480003,0004,16868680003,50058117
353222063480004,0005,16868680004,50058118
353222063480005,0006,16868680005,50058119
353222063480006,0007,16868680006,50058120
353222063480007,0008,16868680007,50058121
353222063480008,0009,16868680008,50058122
353222063480009,0010,16868680009,50058123
353222063480010,0011,16868680010,50058124
353222063480011,0012,16868680011,50058125
353222063480012,0013,16868680012,50058126
353222063480013,0014,16868680013,50058127
353222063480014,0015,16868680014,50058128
353222063480015,0016,16868680015,50058129
353222063480016,0017,16868680016,50058130
353222063480017,0018,16868680017,50058131
353222063480018,0019,16868680018,50058132
353222063480019,0020,16868680019,50058133
353222063480020,0021,16868680020,50058134
353222063480021,0022,16868680021,50058135
353222063480022,0023,16868680022,50058136
353222063480023,0024,16868680023,50058137
353222063480024,0025,16868680024,50058138
353222063480025,0026,16868680025,50058139
353222063480026,0027,16868680026,50058140
353222063480027,0028,16868680027,50058141
353222063480028,0029,16868680028,50058142
353222063480029,0030,16868680029,50058143
353222063480030,0031,16868680030,50058144
353222063480031,0032,16868680031,50058145
353222063480032,0033,16868680032,50058146
353222063480033,0034,16868680033,50058147
353222063480034,0035,16868680034,50058148
353222063480035,0036,16868680035,50058149
353222063480037,0038,16868680037,50058151
353222063480038,0039,16868680038,50058152
353222063480039,0040,16868680039,50058153
353222063480040,0041,16868680040,50058154
353222063480041,0042,16868680041,50058155
353222063480042,0043,16868680042,50058156
353222063480043,0044,16868680043,50058157
353222063480044,0045,16868680044,50058158
353222063480045,0046,16868680045,50058159
353222063480046,0047,16868680046,50058160
353222063480047,0048,16868680047,50058161
353222063480048,0049,16868680048,50058162
353222063480049,0050,16868680049,50058163
353222063480050,0051,16868680050,50058164
353222063480051,0052,16868680051,50058165
353222063480052,0053,16868680052,50058166
353222063480053,0054,16868680053,50058167
353222063480054,0055,16868680054,50058168
353222063480055,0056,16868680055,50058169
353222063480056,0057,16868680056,50058170
353222063480057,0058,16868680057,50058171
353222063480058,0059,16868680058,50058172
353222063480059,0060,16868680059,50058173
353222063480060,0061,16868680060,50058174
353222063480061,0062,16868680061,50058175
353222063480062,0063,16868680062,50058176
353222063480063,0064,16868680063,50058177
353222063480064,0065,16868680064,50058178
353222063480065,0066,16868680065,50058179
353222063480066,0067,16868680066,50058180
353222063480067,0068,16868680067,50058181
353222063480068,0069,16868680068,50058182
353222063480069,0070,16868680069,50058183
353222063480070,0071,16868680070,50058184
353222063480071,0072,16868680071,50058185
353222063480072,0073,16868680072,50058186
353222063480073,0074,16868680073,50058187
353222063480074,0075,16868680074,50058188
353222063480075,0076,16868680075,50058189
353222063480076,0077,16868680076,50058190
353222063480077,0078,16868680077,50058191
353222063480078,0079,16868680078,50058192
353222063480079,0080,16868680079,50058193
353222063480080,0081,16868680080,50058194
353222063480081,0082,16868680081,50058195
353222063480082,0083,16868680082,50058196
