353222069990000,16830180000,880242,DuVRZUsGvkPRtcpnCM5tcdmyqsGn0+qe/geLZDz1LMnTqsSTQXjYnJtmbaeeh6UJ,F1:11:11:FF:88:F1
353222069990001,16830180001,879085,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:F2
353222069990002,16830180002,879086,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:F3
353222069990003,16830180003,879087,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:F4
353222069990004,16830180004,879088,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:F5
353222069990005,16830180005,879089,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:F6
353222069990006,16830180006,879090,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:F7
353222069990007,16830180007,879091,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:F8
353222069990008,16830180008,879092,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:F9
353222069990009,16830180009,879093,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:A1
353222069990010,16830180010,879094,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:A2
353222069990011,16830180011,879095,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:A3
353222069990012,16830180012,879096,DuxlbzhsCI5v5+IN6UWbXZKmdC+GNssMltIESS9NpgcrtbZpIHeS2SnxU/yhb1H/FPwWrX1eYJ9JhmCj4AkDHNYg,F1:11:11:FF:88:A4
